Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Controllers/AuthController.cs,38,12,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,"return Ok(new JwtData()             {                 Token = new JwtSecurityTokenHandler().WriteToken(token),                 Expiration = token.ValidTo             });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Auth/AuthUtils.cs,51,8,P:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.ValidTo,,,,,"ctx.Response.WriteAsJsonAsync(new JwtData()         {             Token = new JwtSecurityTokenHandler().WriteToken(token),             Expiration = token.ValidTo         });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Auth/AuthUtils.cs,51,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,"ctx.Response.WriteAsJsonAsync(new JwtData()         {             Token = new JwtSecurityTokenHandler().WriteToken(token),             Expiration = token.ValidTo         });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Auth/AuthUtils.cs,51,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,"ctx.Response.WriteAsJsonAsync(new JwtData()         {             Token = new JwtSecurityTokenHandler().WriteToken(token),             Expiration = token.ValidTo         });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Auth/AuthUtils.cs,51,8,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,"ctx.Response.WriteAsJsonAsync(new JwtData()         {             Token = new JwtSecurityTokenHandler().WriteToken(token),             Expiration = token.ValidTo         });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Auth/AuthUtils.cs,49,8,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,var token = AuthController.GetToken(authClaims);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,116,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents.OnTokenValidated,,,,,"options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,129,24,P:Microsoft.AspNetCore.Authentication.JwtBearer.MessageReceivedContext.Token,,,,,context.Token = s.Trim().Substring(7);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,116,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents.OnMessageReceived,,,,,"options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,116,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents,,,,,"options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     };"
